;C_DT_DIGIT;C_DT_LETTER;C_DT_SLASH;C_DT_DASH;C_DT_T;C_DT_W;C_DT_PLUS;C_DT_COLON;C_DT_DOT;C_DT_Z;C_DT_ILLEGAL;C_DT_EOF
S_DT_START;S_DT_D;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
S_DT_D;S_DT_DD;T_DT_ERROR;F_DT_DAYL;F_DT_DAYL;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
S_DT_DD;S_DT_YYY;T_DT_ERROR;F_DT_DAYL;F_DT_DAYL;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
S_DT_YYY;F_DT_YEARL;T_DT_ERROR;F_DT_YEARL;F_DT_YEARL;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
F_DT_YEARL;S_DT_YM;S_DT_YMON;F_DT_YEARL;F_DT_YEARL2;S_DT_YMON;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
F_DT_YEARL2;S_DT_YM;S_DT_YMON;T_DT_ERROR;T_DT_ERROR;S_DT_YMON;S_DT_YV;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
F_DT_DAYL;S_DT_DM;S_DT_DMON;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
S_DT_YM;S_DT_YMM;T_DT_ERROR;F_DT_YMONTH;F_DT_YMONTH;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
S_DT_YMM;F_DT_DDD;T_DT_ERROR;F_DT_YMONTH;F_DT_YMONTH;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
F_DT_YMONTH;F_DT_YMD;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR;T_DT_ERROR
